current_video_id,file_name,source_path,relative_path,file_size_mb,duration_seconds,resolution,aspect_ratio,fps,has_audio,video_codec,audio_codec,video_read_status,first_frame_decode_status,error_message,possible_duplicate_group,notes
cfv_0001,30+产后妈妈居家必练动作.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/30+产后妈妈居家必练动作.mp4,30+产后妈妈居家必练动作.mp4,14.640,10.611,1080x1920,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,16.401,11.749,1080x1920,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0003,4月17日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/4月17日(1).mp4,4月17日(1).mp4,25.615,27.353,720x1280,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0004,5月26日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日/5月26日.mp4,5月26日/5月26日.mp4,19.525,14.141,1080x1920,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0005,5月26日 (2).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日 (2)/5月26日 (2).mp4,5月26日 (2)/5月26日 (2).mp4,11.003,12.213,1080x1920,9:16,30.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0006,5月26日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日(1)/5月26日(1).mp4,5月26日(1)/5月26日(1).mp4,19.548,14.141,1080x1920,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0007,5月27日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日/5月27日.mp4,5月27日/5月27日.mp4,15.142,16.509,1080x1920,9:16,30.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0008,5月27日 (1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日 (1)/5月27日 (1).mp4,5月27日 (1)/5月27日 (1).mp4,20.240,22.384,1080x1920,9:16,30.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0009,70%女性中招的盆底肌误区.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/70%女性中招的盆底肌误区.mp4,70%女性中招的盆底肌误区.mp4,86.617,65.782,1080x1920,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/Z宫下垂盆底无力就练臀桥呼吸.mp4,Z宫下垂盆底无力就练臀桥呼吸.mp4,105.348,79.575,1080x1920,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0011,产后漏尿能自己好吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/产后漏尿能自己好吗.mp4,产后漏尿能自己好吗.mp4,155.475,117.725,1080x1920,9:16,60.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
cfv_0012,你的小肚子凸可能不是胖.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/你的小肚子凸可能不是胖.mp4,你的小肚子凸可能不是胖.mp4,49.364,55.519,1080x1920,9:16,30.000,true,hevc,aac,success,success,,,ffprobe 元数据 + 首帧解码探针
